"","Location","Burrito","Date","Neighborhood","Yelp","Google","Cost","Length","Circum","Volume","Tortilla","Temp","Meat","Fillings","Meat.filling","Uniformity","Salsa","Synergy","Wrap","Overall","NumOfIngred"
"104","Ortiz's Taco Shop #2","California","11/2/2016","Pacific Beach",4,4.2,6.39,22.5,20.5,0.75,3,4.4,4,4,4.5,4.2,4.3,4,5,4.2,0
"105","Ortiz's Taco Shop #2","California","11/2/2016","Pacific Beach",4,4.2,6.39,20.5,20.5,0.69,2,,3.5,3,5,4,2,3.5,3.5,3.5,0
"106","Papa Chito's Mexican Food","California","8/9/2016","University City",2.5,3.3,6.25,21.5,20,0.68,3.5,3.5,2.5,2.5,2.5,4,2,1.5,5,2.2,4
"107","Papa Chito's Mexican Food","California","8/9/2016","University City",2.5,3.3,6.25,20,20,0.64,4,5,3,3,4,3.5,4,4,5,3.75,4
"111","Rigoberto's Taco Shop","California","9/27/2016","Miramar",4,4.4,6.6,22,23,0.93,4,4.5,4,4,4.5,5,4.5,4.5,4.5,4.25,0
"112","Rigoberto's Taco Shop","California","1/4/2017","Miramar",4,4.4,6.6,23,20.5,0.77,4,4.5,4,3.5,3.5,5,1.5,3.5,4.5,3.7,0
"113","Rigoberto's Taco Shop","California","5/17/2017","Miramar",4,4.4,6.85,23.5,23,0.99,3.5,5,3.3,3,5,2,3,3.8,3.5,3.9,0
"114","Rigoberto's Taco Shop","California","5/17/2017","Miramar",4,4.4,6.85,23.5,23.5,1.03,4,5,4,4,5,3.5,2,3.5,4,4,0
"121","Roberto's Taco Shop Hillcrest","California","5/30/2017","Hillcrest",4,4.2,7,23,21.5,0.85,3,3,2,2,3,2,3,2,3,2.2,4
"122","Roberto's Taco Shop Hillcrest","California","8/14/2017","Hillcrest",4,4.2,7,19.5,21.5,0.72,4.5,5,4,4,4,3.7,3.8,4.6,4.8,4.2,0
"123","Senor Grubby's","California","4/24/2016","Carlsbad",4,4.1,9,19,21.5,0.7,2,3.5,3,1.5,1,1,2.5,1.5,3.5,1.5,4
"124","Senor Panchos","California","8/21/2016","San Marcos",4,4.2,6.25,21,19.5,0.64,3,4,4,3,3.5,4.5,4,4,5,4,0
"125","Sotos Mexican Food","California","5/4/2016","Miramar ",4.5,4.6,6.75,22.5,23,0.95,4.5,4,3,4,1,3,4.5,3.5,4.5,3.5,5
"129","Taco Stand La Jolla","California","4/25/2026","La Jolla",4.5,4.4,8,21.59,,,4.5,5,5,5,4.5,5,3,5,5,4.9,5
"130","Taco Stand La Jolla","California","5/6/2016","La Jolla",4.5,4.4,7.49,19,22,0.73,3.5,4,4,4,3.5,3,4,4.5,3,4.2,6
"131","Taco Stand La Jolla","California","5/6/2016","La Jolla",4.5,4.4,7.49,16.5,25,0.82,4,3.5,4,4,4.5,5,4.5,5,4.5,4.5,6
"132","Taco Stand La Jolla","California","5/6/2016","La Jolla",4.5,4.4,7.49,17,25.5,0.88,3,3,4,3.5,3.5,4,3.5,4,2.5,3.7,6
"133","Taco Stand La Jolla","California","5/6/2016","La Jolla",4.5,4.4,7.49,17.7,21.5,0.65,4,2,5,5,1,3,5,4,3,4,6
"134","Taco Stand La Jolla","California","5/6/2016","La Jolla",4.5,4.4,7.49,20,23.5,0.88,4,3,4,4.5,5,4.5,3,4.5,4,4,6
"136","Taco Stand La Jolla","California","11/6/2018","La Jolla",4.5,4.4,8,21.5,24,0.99,5,5,5,4.5,5,5,5,5,5,4.9,0
"137","Taco Stand Encinitas","California","6/10/2017","Encinitas ",4,4.4,7.89,18,21.5,0.66,3,,4,4,4.5,4,4.5,4.5,5,4.5,0
"138","Taco Stand Encinitas ","California","6/10/2017","Encinitas ",4,4.4,7.89,19,22.5,0.77,3,,4.5,4,4.5,4.5,4.5,4.8,3.3,4.7,0
"139","Taco Surf PB","California","5/23/2016","Pacific Beach",4,4.6,7.14,20,23,0.84,4,2,4,5,4,2,4,4.5,5,4.4,6
"140","Taco Surf PB","California","5/23/2016","Pacific Beach",4,4.6,7.14,20.5,24,0.94,4,2,4.5,4,3.5,2,3,4,4,4.1,6
"141","Taco Villa","California","2/21/2017","UTC",3.5,3.5,,18.5,21.5,0.68,3,3,3.5,4,3,1.5,3.8,4,5,4,0
"142","Taco VIlla","California","7/19/2017","UTC",3.5,3.5,6.99,20.5,21.5,0.75,4,,3.5,3.5,3.5,3.5,3.5,3.5,5,3.7,0
"143","Taco Villa","California","5/1/2018","UTC",3.5,3.5,6.99,18,23,0.76,3.5,3,3.2,3.2,3.2,4,3,2.5,4.5,3.2,0
"146","Valentines Mexican Food","California","11/16/2016","Downtown",4,4,7.9,20,22,0.77,3,5,5,4,5,4,3,5,2,4.5,0
"147","Valentines Mexican Food","California","11/16/2016","Downtown",4,4,7.9,20,21.5,0.74,4,4,3,4,4,4,3,3,4,4,0
"149","Valentines Mexican Food","California","8/7/2017","Downtown",4,4,7.9,22,25,1.09,4,5,5,5,5,5,5,4,3.5,4.8,0
"151","Vallarta express","California","5/9/2016","Clairemont",3.5,4,6.95,21,23,0.88,3,3.5,2,3.5,3,2.5,2.5,2.5,2,2.9,0
"153","Vallarta Express","California","6/24/2017","Clairemont",3.5,4,7.8,20.5,24.5,0.98,3,2,3.5,3,3,4,3,3.8,4.5,3.5,0
"154","Vallarta Express","California","8/9/2017","Clairemont",3.5,4,8.35,21,23,0.88,3,3,4,3,4,2.5,4,4.5,4,4.1,0
"219","Alberto's","Carne Asada","5/5/2016","Escondido",,,4.59,17,21,0.6,4,4,5,5,5,5,5,5,4,4.8,0
"257","California Burritos","Carnitas","6/24/2016","Linda Vista",4.5,4.4,5.5,21.5,20,0.68,5,4,5,4,4.5,4,4,4.5,4,4.5,2
"258","Chipotle","Carnitas","9/13/2016","Carlsbad",3,4.2,7.15,16.5,26.5,0.92,2.5,2.5,3,2.8,2.5,3.5,,3,3.5,2.75,7
"259","El Portal Fresh Mexican Grill","Carnitas","11/6/2016","Clairemont",4,4.4,6.7,18,22.5,0.73,3.5,4,4,3,3.75,4,3,3.5,4.5,3.75,3
"260","Los Primos Mexican Food","Carnitas","6/3/2016","UTC",3,3.7,6.35,18,20.5,0.6,4,4,2.5,2,3,2,2,2,3,2,2
"261","Lourdes","Carnitas","3/3/2017","Encinitas",4,4.7,7.35,21,19,0.6,3.5,3,3.5,3,4.5,4.5,4,4,5,3.75,0
"265","Rigoberto's Taco Shop","Carnitas","5/13/2016","Miramar",4,4.4,7.5,23.5,22.5,0.95,4,5,4,5,5,4,5,4,4,4,3
"267","Roberto's Very Mexican Food","Carnitas","5/24/2016","Del Mar",3.5,3.9,5.4,18,20,0.57,2,3.5,4,2.5,3.5,1.5,1.5,3,5,2.7,3
"269","Taco Villa","Carnitas","9/26/2016","UTC",3.5,3.5,5.99,18.5,20,0.59,3.2,3.8,4.5,2.8,4,2,1.8,3.5,5,4,3
"270","Taco Villa","Carnitas","10/27/2016","UTC",3.5,3.5,5.95,18,20,0.57,4,3,4,3,4,2,3.5,3,5,3.9,3
"271","Taco Villa","Carnitas","4/25/2017","UTC",3.5,3.5,5.99,20,20,0.64,2,4.5,4.5,3,3.8,4.4,2.5,3.5,3,4,3
"272","Taco Villa","Carnitas","4/25/2017","UTC",3.5,3.5,5.99,18.5,20,0.59,4,4,4,3,4,3.5,2.5,3.5,5,3.5,3
"273","Taco Villa","Carnitas","8/25/2017","UTC",3.5,3.5,5.99,20,21.5,0.74,2,2.5,4,3,4,3.5,3,3,5,3.8,0
"274","Taco Villa","Carnitas","4/9/2018","UTC",3.5,3.5,5.99,20,23,0.84,3.5,5,4.3,3.5,5,4,3,3.8,2,4.1,3
"275","Taco Villa","Carnitas","4/9/2018","UTC",3.5,3.5,5.99,17.5,24,0.8,4,4.5,5,4.5,5,4,4,4.5,4,4,3
"276","Taco Villa","Carnitas","4/9/2018","UTC",3.5,3.5,5.99,19,24.5,0.91,2,3.5,4.5,4,4,2,3,4,2,3.5,3
"277","Taco Villa","Carnitas","4/20/2018","UTC",3.5,3.5,5.99,20,20.5,0.67,2,5,4.5,3.5,4.5,4.5,2.5,3.5,1.5,4,0
"278","Taco Villa","Carnitas","5/7/2018","UTC",3.5,3.5,5.99,19.5,21,0.68,2.5,3,4,3.5,2.5,2.5,3.3,3,4,3.7,0
"279","Taco Villa","Carnitas","5/7/2018","UTC",3.5,3.5,5.99,18.5,24,0.85,4,4,4.5,4,4.5,5,4,4,,4.5,0
"331","Los Tacos","Local","9/18/2016","Oceanside",4,4.2,7.9,22,23,0.93,4,3.5,4.5,4.5,3.5,3.5,3.5,4,3,4.3,0
"332","Los Tacos","Local","1/7/2017","Oceanside",4,4.2,7.9,20.5,21,0.72,3.5,4,4,3,4,4.5,4,3.8,4.8,3.8,0
"333","Los Tacos","Local","1/15/2017","Oceanside",4,4.2,7.9,21.5,23.5,0.94,4.5,5,4,3.5,4,2.8,4,4.5,3.7,4.2,0
"334","Los Tacos","Local","1/15/2017","Oceanside",4,4.2,7.9,19.5,24,0.89,4.2,4,4.2,3.8,4,3,3.8,4.5,5,4.2,0
"335","Los Tacos","Local","2/25/2017","Oceanside",4,4.2,7.9,22,22,0.85,3,4.5,4.3,4,3,3.1,3.9,4.2,3,4.1,0
"336","Los Tacos","Local","2/25/2017","Oceanside",4,4.2,7.9,21,24,0.96,3,3.5,4.5,4,4,4,4,4,3.5,4,0
"339","Los Tacos","Local","9/4/2017","Oceanside",4,4.2,8.5,21.5,21.5,0.79,3.5,4,4.5,4,3,4,3.5,4.5,5,4.3,0
"340","Los Tacos","Local","9/4/2017","Oceanside",4,4.2,8.5,21,23,0.88,4,4,4,4.5,4.2,4.5,4,4.5,4.8,4.5,0
"341","Los Tacos","Local","6/5/2016","Oceanside",4,4.2,7.9,20.5,21.5,0.75,3.5,4.5,4.5,4,1.5,1.5,3,4,5,3.5,5
"342","Los Tacos 2","Local","7/22/2017","Oceanside",4.5,5,8.5,23,22,0.89,4,4.5,3,4,3,2.5,3.5,3.5,3,4,0
"343","Los Tacos 2","Local","7/22/2017","Oceanside",4.5,5,8.5,22,21,0.77,4,4,3.75,4,3.5,3.5,4,5,3.5,4,0
"344","Los Tacos 2","Local","1/12/2018","Oceanside",4.5,5,8.5,21,23.5,0.92,4,4,3,3.5,1,2,3,3,1,3,0
"379","California Burritos","Surf & Turf","10/17/2016","Linda Vista",4.5,4.4,7,22.5,21,0.79,3,3,3.5,4,4,3,3,4,3.5,5,0
"380","California burritos","Surf & Turf","4/7/2017","Linda Vista",4.5,4.4,6.75,24.5,22.5,0.99,4,4,4,3.5,3.5,3,2,3.5,3.5,3.5,0
"384","Los Palmitos","Surf & Turf","4/23/2017","Clairemont",4,4.1,8.25,20,24,0.92,3.5,4,4,3,3.5,4.5,3.5,3.5,5,3.6,5
"385","Los Primos Mexican Food","Surf & Turf","8/6/2016","UTC",3,3.7,7,20.5,21.75,0.77,4,4,2,3,2,3.5,3,3,4.5,2.5,4
"386","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park",3.5,4.3,8.25,19,22.5,0.77,3,2.5,3,3,3,3,3.5,3,3,3,6
"387","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park",3.5,4.3,8.25,19,24,0.87,5,3,5,4,2,2,5,2,2,2,6
"389","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park",3.5,4.3,8.25,20,22,0.77,3,2.5,2,2.8,3.5,3.5,4,3,4,2.2,6
"390","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park",3.5,4.3,8.25,20,22,0.77,3.6,3.2,3.2,3.5,3.6,3.5,,3.8,3.9,3.6,6
"392","Vallarta Express","Surf & Turf","6/24/2017","Clairemont",3.5,4,8.55,20,23,0.84,3,2.5,3,3,3.5,2.8,3.5,2.8,1.5,3,0
